图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
小王子,Le Petit Prince,http://book.douban.com/subject/1084336/,http://img3.doubanio.com/lpic/s1237549.jpg,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0,192825
追风筝的人,The Kite Runner,http://book.douban.com/subject/1770782/,http://img3.douban.com/lpic/s1727290.jpg,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.8,197660
围城,,http://book.douban.com/subject/1008145/,http://img3.douban.com/lpic/s1070222.jpg,钱锺书 / 人民文学出版社 / 1991-2 / 19.00,8.9,165540
活着,,http://book.douban.com/subject/1082154/,http://img3.douban.com/lpic/s23836852.jpg,余华 / 南海出版公司 / 1998-5 / 12.00元,9.1,112691
挪威的森林,ノルウェイの森,http://book.douban.com/subject/1046265/,http://img3.douban.com/lpic/s1228930.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2001-2 / 18.80元,8.0,167249
白夜行,白夜行,http://book.douban.com/subject/3259440/,http://img3.douban.com/lpic/s4610502.jpg,[日] 东野圭吾 / 刘姿君 / 南海出版公司 / 2008-9 / 29.80元,9.1,145313
不能承受的生命之轻,Nesnesitelná lehkost bytí,http://book.douban.com/subject/1017143/,http://img3.doubanio.com/lpic/s1091698.jpg,[捷克] 米兰·昆德拉 / 许钧 / 上海译文出版社 / 2003-7 / 23.00元,8.4,124022
梦里花落知多少,,http://book.douban.com/subject/1016300/,http://img3.doubanio.com/lpic/s1513378.jpg,郭敬明 / 春风文艺出版社 / 2003-11 / 20.00元,7.2,138920
红楼梦,,http://book.douban.com/subject/1007305/,http://img3.doubanio.com/lpic/s1070959.jpg,[清] 曹雪芹 著 / 人民文学出版社 / 1996-12 / 59.70元,9.5,102272
达·芬奇密码,The Da Vinci Code,http://book.douban.com/subject/1040771/,http://img3.douban.com/lpic/s1513425.jpg,[美] 丹·布朗 / 朱振武 / 上海人民出版社 / 2004-2 / 28.00元,8.2,118828
1988：我想和这个世界谈谈,,http://book.douban.com/subject/5275059/,http://img3.doubanio.com/lpic/s4477716.jpg,韩寒 / 国际文化出版公司 / 2010-9 / 25.00元,7.9,112390
何以笙箫默,,http://book.douban.com/subject/1461903/,http://img3.douban.com/lpic/s2529195.jpg,顾漫 / 朝华出版社 / 2007-4 / 15.00元,8.0,108561
三体, : “地球往事”三部曲之一 ,http://book.douban.com/subject/2567698/,http://img3.doubanio.com/lpic/s2768378.jpg,刘慈欣 / 重庆出版社 / 2008-1 / 23.00,8.8,99414
嫌疑人X的献身,容疑者Xの献身,http://book.douban.com/subject/3211779/,http://img3.douban.com/lpic/s3254244.jpg,[日] 东野圭吾 / 刘子倩 / 南海出版公司 / 2008-9 / 28.00,8.9,94934
看见,,http://book.douban.com/subject/20427187/,http://img3.douban.com/lpic/s24468373.jpg,柴静 / 广西师范大学出版社 / 2013-1-1 / 39.80元,8.8,95008
简爱,Jane Eyre,http://book.douban.com/subject/1141406/,http://img3.doubanio.com/lpic/s5924326.jpg,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5,95617
平凡的世界（全三部）,,http://book.douban.com/subject/1200840/,http://img3.douban.com/lpic/s1144911.jpg,路遥 / 人民文学出版社 / 2005-1 / 64.00元,9.0,85821
哈利·波特与魔法石,Harry Potter and the Philosopher's Stone,http://book.douban.com/subject/1041007/,http://img3.douban.com/lpic/s1990480.jpg,[英] J. K. 罗琳 / 苏农 / 人民文学出版社 / 2000-9 / 19.50元,9.0,76793
杜拉拉升职记,,http://book.douban.com/subject/2256039/,http://img3.douban.com/lpic/s3012803.jpg,李可 / 陕西师范大学出版社 / 2007-9 / 26.00元,7.8,87340
三重门,,http://book.douban.com/subject/1026425/,http://img3.douban.com/lpic/s1024882.jpg,韩寒 / 作家出版社 / 2000-5 / 16.00,7.4,90416
解忧杂货店,ナミヤ雑貨店の奇蹟,http://book.douban.com/subject/25862578/,http://img3.doubanio.com/lpic/s27284878.jpg,(日)东野圭吾 / 李盈春 / 南海出版公司 / 2014-5 / 39.50元,8.6,80122
飘（上下）,Gone with the Wind,http://book.douban.com/subject/1068920/,http://img3.doubanio.com/lpic/s1078958.jpg,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3,69120
倾城之恋,,http://book.douban.com/subject/1090043/,http://img3.douban.com/lpic/s1077102.jpg,张爱玲 / 花城出版社 / 1997-3-1 / 11.00,8.5,77859
傲慢与偏见,Pride and Prejudice,http://book.douban.com/subject/1083428/,http://img3.douban.com/lpic/s4250062.jpg,[英] 奥斯丁 / 张玲 / 人民文学出版社 / 1993-7 / 13.00元,8.8,75238
送你一颗子弹,,http://book.douban.com/subject/4238362/,http://img3.doubanio.com/lpic/s4243447.jpg,刘瑜 / 上海三联书店 / 2010-1 / 25.00元,8.6,75682
明朝那些事儿（壹）, : 洪武大帝 ,http://book.douban.com/subject/1873231/,http://img3.douban.com/lpic/s1872653.jpg,当年明月 / 中国友谊出版公司 / 2006-9 / 24.80,8.8,72626
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,http://book.douban.com/subject/1071241/,http://img3.doubanio.com/lpic/s1074376.jpg,[英] J. K. 罗琳 / 郑须弥 / 人民文学出版社 / 2000-9 / 26.50元,8.9,65958
天才在左 疯子在右, : 国内第一本精神病人访谈手记 ,http://book.douban.com/subject/4242172/,http://img3.doubanio.com/lpic/s6340977.jpg,高铭 / 武汉大学出版社 / 2010-2 / 29.80元,8.4,74378
幻城,圣传,http://book.douban.com/subject/1059406/,http://img3.doubanio.com/lpic/s1100387.jpg,郭敬明 / 春风文艺出版社 / 2003-1 / 28.00元,7.1,84144
百年孤独,Cien años de soledad,http://book.douban.com/subject/6082808/,http://img3.douban.com/lpic/s6384944.jpg,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.2,68020
情人,L'Amant,http://book.douban.com/subject/1400705/,http://img3.doubanio.com/lpic/s1444578.jpg,[法] 玛格丽特·杜拉斯 / 王道乾 / 上海译文出版社 / 2005-7 / 20.00元,8.1,75460
独唱团（第一辑）,,http://book.douban.com/subject/4886245/,http://img3.douban.com/lpic/s4436571.jpg,韩寒 主编 / 书海出版社 / 2010-7-6 / 16.00元,7.8,77845
致我们终将逝去的青春,,http://book.douban.com/subject/2209098/,http://img3.douban.com/lpic/s2652662.jpg,辛夷坞 / 朝华出版社 / 2007-8 / 25.00元,7.9,75799
哈利·波特与密室,Harry Potter And The Chamber Of Secrets,http://book.douban.com/subject/1039487/,http://img3.douban.com/lpic/s1557672.jpg,[英] J. K. 罗琳 / 马爱新 / 人民文学出版社 / 2000-9 / 22.00元,8.8,63713
莲花,,http://book.douban.com/subject/1529893/,http://img3.doubanio.com/lpic/s1513548.jpg,安妮宝贝 / 作家出版社 / 2006-3 / 25.00元,8.0,75272
1Q84 BOOK 1, : 4月～6月 ,http://book.douban.com/subject/4742918/,http://img3.douban.com/lpic/s4363464.jpg,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,8.3,70012
向左走·向右走,,http://book.douban.com/subject/1066462/,http://img3.douban.com/lpic/s1557610.jpg,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4,68079
